,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
736,2017-08-31,391.42,491601.26,192664622.13,15054878.34,17.19
737,2017-09-01,351.03,1101764.65,392672123.64,13953113.69,39.2
738,2017-09-02,352.45,627030.97,220213614.9,14580144.66,39.19
739,2017-09-03,303.7,1691892.31,518097340.34,12888252.35,49.54
740,2017-09-04,317.94,947781.26,285969365.42,13836033.61,51.42
741,2017-09-05,338.92,624432.7,207751167.29,14460466.31,56.86
742,2017-09-06,335.37,439263.99,145609934.39,14021202.32,56.21
743,2017-09-07,306.72,997877.33,307973324.88,13023324.99,53.89
744,2017-09-08,303.79,423738.08,127930167.28,12599586.91,53.43
745,2017-09-09,299.21,612531.96,179819553.2,11987054.95,35.56
746,2017-09-10,297.95,502277.48,149130023.67,11484777.47,32.03
747,2017-09-11,294.1,706469.01,212949898.74,10778308.46,21.34
748,2017-09-12,275.84,1204287.66,328829086.33,9574020.8,23.27
749,2017-09-13,223.14,1840149.11,448360655.12,7733871.69,53.31
750,2017-09-14,259.57,2545560.43,601118554.63,10279432.12,77.0
751,2017-09-15,254.49,829893.83,213735353.14,9449538.29,76.95
752,2017-09-16,258.4,509132.86,129073620.3,9958671.15,77.63
753,2017-09-17,297.53,1101869.95,316944028.29,11060541.1,89.62
754,2017-09-18,283.0,736458.34,211173075.81,10324082.76,88.79
755,2017-09-19,283.56,416768.41,119360306.75,10740851.17,56.18
756,2017-09-20,257.77,794785.87,213821119.8,9946065.3,52.82
757,2017-09-21,262.94,491176.93,128332019.33,10437242.23,52.68
758,2017-09-22,286.14,403931.95,111790766.56,10841174.18,56.93
759,2017-09-23,282.6,455005.16,129812958.5,10386169.02,40.49
760,2017-09-24,294.89,431148.81,125825077.84,10817317.83,39.91
761,2017-09-25,288.64,266603.9,77729398.68,10550713.93,40.65
762,2017-09-26,309.97,519371.43,155862803.45,11070085.36,28.56
763,2017-09-27,302.77,381991.35,116142194.54,10688094.01,32.15
764,2017-09-28,292.58,651910.85,189289895.65,10036183.16,28.2
765,2017-09-29,302.77,274718.7,82819424.09,10310901.86,28.67
766,2017-09-30,303.95,220320.92,66161942.23,10531222.78,26.86
767,2017-10-01,296.81,291646.77,87144370.37,10239576.01,27.07
768,2017-10-02,291.81,302101.3,88276884.19,9937474.71,16.57
769,2017-10-03,291.68,231043.01,67580849.1,9706431.7,16.1
770,2017-10-04,294.99,202892.42,59328523.56,9909324.12,13.69
771,2017-10-05,308.33,265830.27,80140194.73,10175154.39,15.87
772,2017-10-06,311.26,269276.51,83321062.1,10444430.9,15.96
773,2017-10-07,309.49,217688.05,67801593.66,10226742.85,13.84
774,2017-10-08,296.95,471243.74,140753204.93,9755499.11,18.33
775,2017-10-09,298.46,268423.2,80475858.44,10023922.31,18.3
776,2017-10-10,302.86,223439.16,67246675.44,10247361.47,18.44
777,2017-10-11,302.89,426811.81,130357482.76,10674173.28,13.25
778,2017-10-12,336.83,994746.99,325130767.69,11668920.27,32.59
779,2017-10-13,338.81,345894.16,118217861.14,12014814.43,32.16
780,2017-10-14,336.58,465975.53,154046243.07,11548838.9,27.94
781,2017-10-15,334.23,498450.89,170532984.7,11050388.01,28.71
782,2017-10-16,316.14,415234.07,133468389.3,10635153.94,35.12
783,2017-10-17,313.54,543742.61,164595270.46,10091411.33,35.34
784,2017-10-18,307.41,297975.44,92233614.25,9793435.89,14.1
785,2017-10-19,303.08,297745.84,91295399.0,9495690.05,12.43
786,2017-10-20,299.55,307450.01,91321527.88,9188240.04,12.07
787,2017-10-21,294.03,229706.09,67955886.57,8958533.95,11.42
788,2017-10-22,285.27,430501.72,121924456.19,8528032.23,5.087
789,2017-10-23,296.5,545459.65,165128705.67,9073491.88,16.04
790,2017-10-24,296.35,245972.24,72454123.85,8827519.64,15.78
791,2017-10-25,295.54,160687.3,47625722.81,8666832.34,15.57
792,2017-10-26,296.36,152637.47,45180916.86,8819469.81,15.45
793,2017-10-27,293.35,142578.77,41932396.96,8676891.04,14.81
794,2017-10-28,304.04,353324.1,107293933.23,9030215.14,13.87
795,2017-10-29,306.8,186091.57,57189166.5,9216306.71,10.58
796,2017-10-30,303.64,214194.38,65784953.81,9002112.33,11.38
797,2017-10-31,289.42,406127.88,121046164.14,8595984.45,18.19
798,2017-11-01,284.92,702319.19,200255173.09,7893665.26,18.32
799,2017-11-02,304.51,487772.27,144510264.39,8381437.53,26.7
800,2017-11-03,300.04,277052.73,82749431.95,8104384.8,25.27
801,2017-11-04,296.23,214091.55,63667315.96,7890293.25,25.1
802,2017-11-05,296.82,376470.44,112601694.96,8266763.69,25.13
803,2017-11-06,291.84,530096.77,155572238.28,7736666.92,21.52
804,2017-11-07,307.35,800725.7,245218193.52,8537392.62,24.34
805,2017-11-08,319.66,650266.17,207473774.31,9187658.79,19.78
806,2017-11-09,296.86,793302.54,242321395.52,8394356.25,29.68
807,2017-11-10,314.23,531431.95,163117794.2,8925788.2,33.15
808,2017-11-11,306.02,877312.34,269198764.73,8048475.86,34.59
809,2017-11-12,314.6,558443.0,174789178.94,8606918.86,34.2
810,2017-11-13,334.72,785305.62,256426287.76,9392224.48,35.31
811,2017-11-14,331.2,514478.63,171713343.53,8877745.85,34.78
812,2017-11-15,330.32,479983.53,157426941.16,8397762.32,24.24
813,2017-11-16,331.72,378014.46,124992568.47,8775776.78,20.75
814,2017-11-17,346.65,421354.76,141724984.0,9197131.54,18.86
815,2017-11-18,354.6,633880.58,225946121.64,9831012.12,18.75
816,2017-11-19,367.71,461611.79,167626773.14,10292623.91,14.54
817,2017-11-20,360.52,693590.17,251898109.93,9599033.74,16.11
818,2017-11-21,380.84,445622.07,164317320.01,10044655.81,18.19
819,2017-11-22,406.57,1028925.9,414164352.05,11073581.71,19.87
820,2017-11-23,470.43,908488.94,394452948.4,11982070.65,36.4
821,2017-11-24,464.61,642619.77,301212841.34,11339450.88,39.83
822,2017-11-25,470.54,376521.85,172973289.85,11715972.73,40.78
823,2017-11-26,475.24,672619.99,319587125.58,12388592.72,37.59
824,2017-11-27,466.27,549199.04,258005286.21,11839393.68,41.18
825,2017-11-28,427.42,1321734.67,619578824.65,10517659.01,50.39
826,2017-11-29,434.85,1023187.3,438013592.75,11540846.31,25.72
827,2017-11-30,461.58,583678.92,259931075.6,12124525.23,32.35
828,2017-12-01,457.96,464500.81,214732551.78,11660024.42,32.06
829,2017-12-02,462.81,509415.89,237918665.66,12169440.31,32.08
830,2017-12-03,466.93,411969.17,189877684.96,12581409.48,31.85
831,2017-12-04,453.96,494270.35,227246572.43,12087139.13,19.32
832,2017-12-05,422.48,1074639.32,470223347.34,11012499.81,28.93
833,2017-12-06,421.15,992479.84,416652301.63,10020019.97,20.47
834,2017-12-07,451.74,1095872.72,479837604.63,11115892.69,30.98
835,2017-12-08,472.86,1093313.72,522718280.71,12209206.41,33.58
836,2017-12-09,436.49,694853.93,307733091.95,11514352.48,40.23
837,2017-12-10,513.29,758921.64,359245523.6,12273274.12,60.66
838,2017-12-11,656.52,1760917.56,997267993.61,14034191.68,76.8
839,2017-12-12,699.09,1964686.27,1324617349.11,15998877.95,73.04
840,2017-12-13,693.58,1133303.76,806129945.07,14865574.19,77.27
841,2017-12-14,684.27,954510.93,633348317.08,13911063.26,80.56
842,2017-12-15,692.83,545836.8,378863163.02,14456900.06,69.52
843,2017-12-16,717.71,532050.55,381124251.98,14988950.61,64.2
844,2017-12-17,785.99,1016881.96,752383737.04,16005832.57,27.1
845,2017-12-18,812.5,1339007.15,1094688835.82,17344839.72,25.08
846,2017-12-19,799.17,1135826.7,889990388.6,16209013.02,26.15
847,2017-12-20,789.39,906371.43,725479885.52,15302641.59,26.0
848,2017-12-21,657.83,2384161.57,1535685091.41,12918480.02,61.71
849,2017-12-22,700.44,663566.52,468771914.78,13582046.54,63.82
850,2017-12-23,675.91,742417.69,477777689.82,12839628.85,56.07
851,2017-12-24,723.14,536600.51,382873119.5,13376229.36,59.82
852,2017-12-25,753.4,394588.38,293691001.17,13770817.74,62.02
853,2017-12-26,739.94,474557.77,352542483.1,13296259.97,62.06
854,2017-12-27,716.69,624468.48,437323299.68,12671791.49,31.71
855,2017-12-28,739.6,533531.26,392497843.64,13205322.75,28.51
856,2017-12-29,692.99,654093.06,455555629.24,12551229.69,33.24
857,2017-12-30,741.13,361409.91,259822610.45,12912639.6,33.17
858,2017-12-31,756.2,342878.12,256171569.97,13255517.72,31.59
859,2018-01-01,861.97,1123318.86,949013949.18,14378836.58,46.06
860,2018-01-02,941.1,871172.13,778108786.12,15250008.71,44.35
861,2018-01-03,944.83,822844.78,780050914.4,16072853.49,45.69
862,2018-01-04,967.13,825084.59,808280779.56,16897938.08,32.04
863,2018-01-05,1006.41,384316.27,381555969.51,17282254.35,32.02
864,2018-01-06,1117.75,563476.81,602250144.77,17845731.16,33.03
865,2018-01-07,1136.11,1137114.56,1292737991.11,18982845.72,27.06
866,2018-01-08,1289.24,812642.22,986697724.1,19795487.94,33.48
867,2018-01-09,1248.99,1105070.29,1445484601.88,18690417.65,38.91
868,2018-01-10,1139.32,1056985.76,1270849838.43,17633431.89,54.22
869,2018-01-11,1261.03,581477.09,704750432.94,18214908.98,57.87
870,2018-01-12,1385.02,551036.77,744906594.35,18765945.75,56.81
871,2018-01-13,1359.48,458696.01,610496132.15,18307249.74,58.6
872,2018-01-14,1278.69,407230.97,537797572.32,17900018.77,53.26
873,2018-01-15,1050.26,1818512.61,1931700742.0,16081506.16,75.37
874,2018-01-16,1024.69,2196783.74,2034010888.99,13884722.42,72.61
875,2018-01-17,1012.97,1080431.79,1117430433.28,12804290.63,62.1
876,2018-01-18,1037.36,501080.74,517599347.75,13305371.37,51.24
877,2018-01-19,1150.5,489743.73,545646401.81,13795115.1,65.83
878,2018-01-20,1049.09,508184.08,543760385.27,13286931.02,67.7
879,2018-01-21,999.64,681092.91,676845706.25,12605838.11,44.18
880,2018-01-22,984.47,678043.45,660805261.99,11927794.66,43.95
881,2018-01-23,1061.78,514521.75,521553676.55,12442316.41,49.07
882,2018-01-24,1046.37,535509.16,568607934.27,11906807.25,49.07
883,2018-01-25,1048.58,492824.14,509049582.65,12399631.39,36.79
884,2018-01-26,1109.08,365750.18,395059716.61,12765381.57,31.1
885,2018-01-27,1231.58,557486.08,662174309.95,13322867.65,33.66
886,2018-01-28,1169.96,436893.27,515965244.78,12885974.38,39.25
887,2018-01-29,1063.75,757521.14,835962532.22,12128453.24,47.56
888,2018-01-30,1111.31,510759.59,550605628.52,12639212.83,48.55
889,2018-01-31,1026.19,970470.71,1033001644.78,11668742.12,54.36
890,2018-02-01,917.47,1783823.6,1606436956.8,9884918.52,57.07
891,2018-02-02,970.87,591555.32,552868551.93,10476473.84,47.78
892,2018-02-03,827.59,766994.32,666593264.45,9709479.52,57.9
893,2018-02-04,695.08,1747376.34,1272929187.15,7962103.18,65.77
894,2018-02-05,785.01,2312291.59,1556542861.3,10274394.77,79.49
895,2018-02-06,751.81,1124767.44,895500139.13,9149627.33,79.22
896,2018-02-07,813.55,632557.69,510550202.1,9782185.02,83.19
897,2018-02-08,877.88,561205.79,469210004.25,10343390.81,84.9
898,2018-02-09,850.75,520877.94,451412405.8,9822512.87,72.21
899,2018-02-10,811.24,376738.95,308313754.16,9445773.92,49.29
900,2018-02-11,865.27,352040.84,300521830.64,9797814.76,41.39
901,2018-02-12,840.98,304130.99,256092877.9,9493683.77,39.71
902,2018-02-13,920.11,529918.98,470132510.11,10023602.75,41.24
903,2018-02-14,927.95,489358.4,454133646.5,10512961.15,37.13
904,2018-02-15,938.02,304038.76,282763877.2,10816999.91,34.78
905,2018-02-16,974.77,287733.8,276682460.01,11104733.71,28.12
906,2018-02-17,913.9,399661.16,375068724.24,10705072.55,35.16
907,2018-02-18,939.79,233504.11,218921662.11,10938576.66,33.13
908,2018-02-19,885.52,372375.38,344672330.06,10566201.28,29.33
909,2018-02-20,840.1,517644.69,445950029.99,10048556.59,31.19
910,2018-02-21,804.63,441363.7,362800754.34,9607192.89,30.44
911,2018-02-22,854.7,403614.67,340134173.18,10010807.56,34.72
912,2018-02-23,833.49,305237.13,255866976.42,9705570.43,32.04
913,2018-02-24,840.28,204987.54,171228507.8,9910557.97,30.1
914,2018-02-25,867.62,287223.68,247282448.05,10197781.65,29.38
915,2018-02-26,871.58,228971.38,201082786.86,10426753.03,24.7
916,2018-02-27,851.5,224871.89,195669597.92,10201881.14,21.66
917,2018-02-28,869.87,209898.61,182033011.59,10411779.75,15.29
