Date,close,VOLALITY7day
2018-07-05,8.63,30.13
2018-07-06,8.86,30.24
2018-07-07,8.71,13.18
2018-07-08,7.69,35.16
2018-07-09,7.14,35.51
2018-07-10,7.16,36.3
2018-07-11,6.92,36.16
2018-07-12,6.9,32.39
2018-07-13,6.94,34.42
2018-07-14,7.4,30.34
2018-07-15,8.1,30.7
2018-07-16,8.78,33.69
2018-07-17,8.6,31.45
2018-07-18,8.42,33.73
2018-07-19,7.85,43.77
2018-07-20,8.0,41.48
2018-07-21,7.85,33.41
2018-07-22,7.93,20.6
2018-07-23,8.59,33.05
2018-07-24,8.53,32.49
2018-07-25,8.31,25.36
2018-07-26,8.43,25.24
2018-07-27,8.37,24.3
2018-07-28,8.34,24.61
2018-07-29,7.74,20.35
2018-07-30,7.33,22.17
2018-07-31,7.23,22.38
2018-08-01,7.02,18.82
2018-08-02,7.18,23.2
2018-08-03,6.98,22.1
2018-08-04,7.03,18.25
2018-08-05,7.06,13.82
2018-08-06,6.57,22.63
2018-08-07,5.59,45.66
2018-08-08,5.76,46.55
2018-08-09,5.24,48.87
2018-08-10,4.96,45.55
2018-08-11,4.96,45.06
2018-08-12,4.58,45.3
2018-08-13,4.57,32.9
2018-08-14,4.63,30.28
2018-08-15,4.51,23.73
2018-08-16,5.58,66.07
2018-08-17,5.08,72.96
2018-08-18,5.29,67.98
2018-08-19,4.7,78.27
2018-08-20,4.9,78.91
2018-08-21,4.71,79.51
2018-08-22,4.9,47.98
2018-08-23,5.05,43.12
2018-08-24,5.04,41.03
2018-08-25,4.95,22.17
2018-08-26,5.38,29.26
2018-08-27,5.91,29.46
2018-08-28,6.13,29.45
2018-08-29,6.07,32.14
2018-08-30,6.4,30.66
2018-08-31,6.66,24.51
2018-09-01,6.64,25.15
2018-09-02,6.47,21.13
2018-09-03,6.48,20.11
2018-09-04,5.16,67.59
2018-09-05,5.23,64.28
2018-09-06,5.06,59.88
2018-09-07,4.74,58.34
2018-09-08,4.94,63.91
2018-09-09,5.03,65.1
2018-09-10,4.99,25.45
2018-09-11,4.94,24.69
2018-09-12,5.39,34.13
2018-09-13,5.23,28.11
2018-09-14,5.34,27.05
2018-09-15,5.41,27.01
2018-09-16,4.84,43.18
2018-09-17,5.06,45.08
2018-09-18,5.25,38.58
2018-09-19,5.77,45.33
2018-09-20,6.19,47.64
2018-09-21,5.94,50.92
2018-09-22,6.03,31.01
2018-09-23,5.67,40.39
2018-09-24,5.42,43.16
2018-09-25,5.55,33.61
2018-09-26,5.82,29.38
2018-09-27,5.76,27.68
2018-09-28,5.75,26.98
2018-09-29,5.72,20.8
2018-09-30,5.74,14.5
2018-10-01,5.62,15.67
2018-10-02,5.62,5.841
2018-10-03,5.8,11.32
2018-10-04,5.83,11.32
2018-10-05,5.73,12.43
2018-10-06,5.76,12.48
2018-10-07,5.94,12.45
2018-10-08,5.92,12.7
2018-10-09,5.92,10.39
2018-10-10,5.09,42.75
2018-10-11,5.2,44.41
2018-10-12,5.3,45.14
2018-10-13,5.2,42.78
2018-10-14,5.59,49.93
2018-10-15,5.57,49.88
2018-10-16,5.56,21.11
2018-10-17,5.46,22.65
2018-10-18,5.4,22.84
2018-10-19,5.45,21.69
