,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
210,2019-06-18,224.51,10565.6,2368942.97,584023.2,18.73
211,2019-06-19,217.82,23294.16,5086420.49,560729.04,21.44
212,2019-06-20,223.48,13532.73,3003183.7,574261.77,20.25
213,2019-06-21,240.37,49047.2,11706011.21,623308.97,26.3
214,2019-06-22,239.01,19280.67,4668969.92,604028.3,23.67
215,2019-06-23,236.4,17700.05,4138747.33,586328.25,23.79
216,2019-06-24,237.11,13807.61,3283552.73,600135.86,23.85
217,2019-06-25,218.25,53194.41,11985283.78,546941.45,33.61
218,2019-06-26,196.94,33859.01,6773300.15,513082.44,41.93
219,2019-06-27,209.06,30291.42,6429086.32,543373.86,39.45
220,2019-06-28,213.36,10107.41,2119763.45,553481.27,41.05
221,2019-06-29,193.8,14060.53,2867279.58,539420.74,45.75
222,2019-06-30,198.94,16078.49,3142390.07,555499.23,47.72
223,2019-07-01,196.62,11762.1,2255346.13,543737.13,44.5
224,2019-07-02,203.86,8382.33,1687826.59,552119.46,36.3
225,2019-07-03,196.27,7941.63,1591330.33,544177.83,33.05
226,2019-07-04,199.15,6223.85,1239163.5,550401.68,32.61
227,2019-07-05,199.58,7173.92,1442464.25,557575.6,17.79
228,2019-07-06,200.83,6577.38,1293006.47,564152.98,16.48
229,2019-07-07,201.86,4603.42,922687.52,568756.4,15.91
230,2019-07-08,204.75,14850.22,3069549.82,583606.62,12.92
231,2019-07-09,191.01,12936.71,2513453.88,570669.91,21.23
232,2019-07-10,162.98,28161.23,4588255.42,542508.68,45.27
233,2019-07-11,166.33,13642.41,2210913.66,556151.09,46.76
234,2019-07-12,153.93,15563.84,2422176.4,540587.25,46.49
235,2019-07-13,127.69,22848.21,3162218.81,517739.04,56.4
236,2019-07-14,128.6,65109.39,7910512.01,582848.43,55.43
237,2019-07-15,110.45,38741.5,4728744.24,544106.93,58.75
238,2019-07-16,119.95,67190.03,7986442.56,611296.96,69.57
239,2019-07-17,134.79,71198.16,9193449.08,682495.12,81.9
240,2019-07-18,146.06,52729.06,7327121.46,735224.18,85.71
241,2019-07-19,173.0,110497.58,18573277.72,845721.76,74.19
242,2019-07-20,176.73,80877.73,14165181.53,926599.49,73.57
243,2019-07-21,168.43,67761.71,11410946.92,858837.78,49.86
